1755503632350|52336|statement|connection 6|url jdbc:mysql://localhost:3306/order_project?useSSL=false&serverTimezone=Asia/Seoul&allowPublicKeyRetrieval=true&useSSL=false&rewriteBatchedStatements=true|INSERT INTO order_stats (member_id, email, order_count, total_amount, avg_amount, last_order_date, updated_at) SELECT     m.member_id,     m.email,     COUNT(o.order_id),     SUM(o.total_price),     AVG(o.total_price),     MAX(o.updated_at),     NOW() FROM orders o JOIN member m ON o.member_id = m.member_id GROUP BY m.member_id, m.email ON DUPLICATE KEY UPDATE     order_count = VALUES(order_count),     total_amount = VALUES(total_amount),     avg_amount = VALUES(avg_amount),     last_order_date = VALUES(last_order_date),     updated_at = NOW() |INSERT INTO order_stats (member_id, email, order_count, total_amount, avg_amount, last_order_date, updated_at) SELECT     m.member_id,     m.email,     COUNT(o.order_id),     SUM(o.total_price),     AVG(o.total_price),     MAX(o.updated_at),     NOW() FROM orders o JOIN member m ON o.member_id = m.member_id GROUP BY m.member_id, m.email ON DUPLICATE KEY UPDATE     order_count = VALUES(order_count),     total_amount = VALUES(total_amount),     avg_amount = VALUES(avg_amount),     last_order_date = VALUES(last_order_date),     updated_at = NOW() 
1755992172914|8|rollback|connection 24|url jdbc:mysql://localhost:52388/testdb?rewriteBatchedStatements=true||
1756024892957|2943|statement|connection 16552|url jdbc:mysql://localhost:57577/testdb?rewriteBatchedStatements=true|SELECT GET_LOCK(?, ?)|SELECT GET_LOCK('product_6', 3)
1756024892959|2787|statement|connection 16594|url jdbc:mysql://localhost:57577/testdb?rewriteBatchedStatements=true|SELECT GET_LOCK(?, ?)|SELECT GET_LOCK('product_6', 3)
1756024892959|2033|statement|connection 16812|url jdbc:mysql://localhost:57577/testdb?rewriteBatchedStatements=true|SELECT GET_LOCK(?, ?)|SELECT GET_LOCK('product_6', 3)
1756024892961|2659|statement|connection 16630|url jdbc:mysql://localhost:57577/testdb?rewriteBatchedStatements=true|SELECT GET_LOCK(?, ?)|SELECT GET_LOCK('product_6', 3)
1756024892961|2844|statement|connection 16575|url jdbc:mysql://localhost:57577/testdb?rewriteBatchedStatements=true|SELECT GET_LOCK(?, ?)|SELECT GET_LOCK('product_6', 3)
1756024892962|2953|statement|connection 16549|url jdbc:mysql://localhost:57577/testdb?rewriteBatchedStatements=true|SELECT GET_LOCK(?, ?)|SELECT GET_LOCK('product_6', 3)
1756024892963|2974|statement|connection 16538|url jdbc:mysql://localhost:57577/testdb?rewriteBatchedStatements=true|SELECT GET_LOCK(?, ?)|SELECT GET_LOCK('product_6', 3)
1756024892963|2641|statement|connection 16633|url jdbc:mysql://localhost:57577/testdb?rewriteBatchedStatements=true|SELECT GET_LOCK(?, ?)|SELECT GET_LOCK('product_6', 3)
1756024892964|2727|statement|connection 16615|url jdbc:mysql://localhost:57577/testdb?rewriteBatchedStatements=true|SELECT GET_LOCK(?, ?)|SELECT GET_LOCK('product_6', 3)
1756024892964|30|rollback|connection 17328|url jdbc:mysql://localhost:57577/testdb?rewriteBatchedStatements=true||
1756025488736|937|statement|connection 60231|url jdbc:mysql://localhost:50935/testdb?rewriteBatchedStatements=true|SELECT GET_LOCK(?, ?)|SELECT GET_LOCK('product_6', 3)
1756025488738|1088|statement|connection 60189|url jdbc:mysql://localhost:50935/testdb?rewriteBatchedStatements=true|SELECT GET_LOCK(?, ?)|SELECT GET_LOCK('product_6', 3)
1756025488737|1281|statement|connection 60119|url jdbc:mysql://localhost:50935/testdb?rewriteBatchedStatements=true|SELECT GET_LOCK(?, ?)|SELECT GET_LOCK('product_6', 3)
1756025488737|1209|statement|connection 60147|url jdbc:mysql://localhost:50935/testdb?rewriteBatchedStatements=true|SELECT GET_LOCK(?, ?)|SELECT GET_LOCK('product_6', 3)
1756025488739|1064|statement|connection 60197|url jdbc:mysql://localhost:50935/testdb?rewriteBatchedStatements=true|SELECT GET_LOCK(?, ?)|SELECT GET_LOCK('product_6', 3)
1756025488739|1270|statement|connection 60122|url jdbc:mysql://localhost:50935/testdb?rewriteBatchedStatements=true|SELECT GET_LOCK(?, ?)|SELECT GET_LOCK('product_6', 3)
1756025488739|957|statement|connection 60223|url jdbc:mysql://localhost:50935/testdb?rewriteBatchedStatements=true|SELECT GET_LOCK(?, ?)|SELECT GET_LOCK('product_6', 3)
1756025488740|1258|statement|connection 60129|url jdbc:mysql://localhost:50935/testdb?rewriteBatchedStatements=true|SELECT GET_LOCK(?, ?)|SELECT GET_LOCK('product_6', 3)
1756025488740|1259|statement|connection 60128|url jdbc:mysql://localhost:50935/testdb?rewriteBatchedStatements=true|SELECT GET_LOCK(?, ?)|SELECT GET_LOCK('product_6', 3)
